slug,title,category,license,repo_url,website_url,is_docker_ready,documented_min_ram_mb,install_verified_os,install_verified_date,content_updated
tinyauth,Tinyauth,sso-identity,AGPL-3.0,https://github.com/tinyauthapp/tinyauth,https://tinyauth.app,true,256,Ubuntu 26.04,2026-08-28,2026-08-28
traefik,Traefik,reverse-proxy,MIT,https://github.com/traefik/traefik,https://traefik.io/traefik,true,256,Ubuntu 26.04,2026-07-25,2026-07-25
twenty,Twenty,crm,AGPL-3.0,https://github.com/twentyhq/twenty,https://twenty.com,true,2048,Ubuntu 26.04,2026-08-04,2026-08-08
umami,Umami,web-analytics,MIT,https://github.com/umami-software/umami,https://umami.is,true,1024,Ubuntu 26.04,2026-07-25,2026-07-13
uptime-kuma,Uptime Kuma,monitoring,MIT,https://github.com/louislam/uptime-kuma,https://uptime.kuma.pet,true,512,Ubuntu 26.04,2026-08-28,2026-08-28
vaultwarden,Vaultwarden,password-manager,AGPL-3.0,https://github.com/dani-garcia/vaultwarden,https://github.com/dani-garcia/vaultwarden,true,256,Ubuntu 26.04,2026-08-28,2026-08-26
vikunja,Vikunja,project-management,AGPL-3.0,https://github.com/go-vikunja/vikunja,https://vikunja.io,true,1024,Ubuntu 24.04,2026-09-11,2026-09-10
vllm,vLLM,ai-chat-interfaces,Apache-2.0,https://github.com/vllm-project/vllm,https://vllm.ai,true,16384,,,2026-08-13
vtiger,Vtiger CRM,crm,Vtiger Public License 1.1,https://github.com/vtiger-crm/vtigercrm,https://www.vtiger.com/open-source-crm/,true,1024,Ubuntu 26.04,2026-08-04,2026-08-04
wallabag,Wallabag,read-it-later,MIT,https://github.com/wallabag/wallabag,https://wallabag.org,true,512,Ubuntu 26.04,2026-07-25,2026-07-13
wg-easy,wg-easy,vpn-mesh-networking,AGPL-3.0,https://github.com/wg-easy/wg-easy,https://wg-easy.github.io/wg-easy/latest/,true,256,Ubuntu 26.04,2026-07-25,2026-07-25
zabbix,Zabbix,monitoring,AGPL-3.0,https://github.com/zabbix/zabbix,https://www.zabbix.com,true,4096,Ubuntu 26.04,2026-08-27,2026-08-27
zitadel,Zitadel,sso-identity,AGPL-3.0,https://github.com/zitadel/zitadel,https://zitadel.com,true,1024,Ubuntu 26.04,2026-08-28,2026-07-13
